score_id,supplier_id,fiscal_year,quarter,otd_score,quality_score,cost_score,responsiveness_score,sustainability_score,composite_score,incidents_reported
SC000331,SUP0021,2023,3,89.56,99.66,80.01,65.6,59.82,85.31,1
SC000332,SUP0021,2023,4,59.81,96.15,73.12,65.29,93.41,77.28,0
SC000333,SUP0021,2024,1,63.08,91.51,92.4,91.72,68.98,80.93,4
SC000334,SUP0021,2024,2,81.73,95.17,97.73,79.61,57.82,86.36,1
SC000335,SUP0021,2024,3,81.44,88.89,89.16,70.12,78.75,83.82,1
SC000336,SUP0021,2024,4,94.81,95.93,78.79,63.11,74.65,86.76,5
SC000337,SUP0022,2021,1,75.83,95.23,72.09,98.52,76.4,83.23,1
SC000338,SUP0022,2021,2,84.52,93.69,95.87,89.26,69.69,88.53,4
SC000339,SUP0022,2021,3,70.27,87.9,84.78,77.6,90.38,81.2,5
SC000340,SUP0022,2021,4,90.62,99.2,73.14,73.5,96.71,88.59,3
SC000341,SUP0022,2022,1,66.89,95.23,77.07,89.33,82.01,81.18,5
SC000342,SUP0022,2022,2,65.93,98.33,78.97,88.24,96.22,83.52,3
SC000343,SUP0022,2022,3,82.0,97.26,89.09,60.13,77.53,85.36,5
SC000344,SUP0022,2022,4,77.65,90.91,81.2,92.6,74.3,83.5,1
SC000345,SUP0022,2023,1,64.42,87.7,80.78,90.25,91.23,79.94,2
SC000346,SUP0022,2023,2,98.5,90.98,90.73,81.68,59.33,89.09,3
SC000347,SUP0022,2023,3,89.41,91.7,83.76,70.42,85.1,86.64,1
SC000348,SUP0022,2023,4,65.97,98.49,90.91,63.98,92.44,83.16,2
SC000349,SUP0022,2024,1,61.81,97.87,95.9,98.01,67.48,83.63,2
SC000350,SUP0022,2024,2,56.39,87.9,70.91,76.57,83.4,73.47,5
SC000351,SUP0022,2024,3,79.98,95.96,98.83,95.99,73.65,89.51,0
SC000352,SUP0022,2024,4,77.86,93.22,99.44,60.63,84.59,85.73,0
SC000353,SUP0023,2021,1,88.84,90.43,88.93,87.85,51.39,85.49,2
SC000354,SUP0023,2021,2,73.43,87.3,90.59,76.2,94.75,83.43,1
SC000355,SUP0023,2021,3,92.97,85.64,90.56,84.39,79.6,88.09,5
SC000356,SUP0023,2021,4,98.86,99.59,83.25,63.3,80.19,90.53,1
SC000357,SUP0023,2022,1,97.83,87.04,93.07,90.88,86.52,91.81,0
SC000358,SUP0023,2022,2,71.25,86.95,81.46,61.13,68.98,76.76,1
SC000359,SUP0023,2022,3,63.51,89.03,84.16,82.63,65.59,77.42,1
SC000360,SUP0023,2022,4,75.69,87.13,91.18,61.47,65.93,79.82,3
SC000361,SUP0023,2023,1,57.01,88.43,92.66,66.17,90.57,77.84,5
SC000362,SUP0023,2023,2,70.98,98.94,70.26,79.4,74.91,80.46,0
SC000363,SUP0023,2023,3,99.39,97.36,82.1,78.44,81.06,91.39,2
SC000364,SUP0023,2023,4,82.68,95.59,89.39,78.77,85.04,87.74,2
SC000365,SUP0023,2024,1,82.49,85.9,70.4,71.28,88.95,80.62,5
SC000366,SUP0023,2024,2,71.17,99.53,75.82,80.3,81.84,82.59,0
SC000367,SUP0023,2024,3,91.1,90.89,89.56,71.26,80.01,87.64,1
SC000368,SUP0023,2024,4,73.22,99.48,90.72,80.18,63.05,84.28,2
SC000369,SUP0024,2021,1,85.09,99.6,92.2,89.99,83.1,91.16,1
SC000370,SUP0024,2021,2,92.89,88.46,73.03,78.88,71.24,84.02,3
SC000371,SUP0024,2021,3,97.68,95.31,71.87,94.31,65.78,88.28,1
SC000372,SUP0024,2021,4,98.75,87.46,70.56,69.45,91.03,86.02,2
SC000373,SUP0024,2022,1,64.27,91.94,96.71,75.2,84.19,82.14,5
SC000374,SUP0024,2022,2,58.56,96.96,95.52,60.07,65.68,78.33,3
SC000375,SUP0024,2022,3,57.04,87.58,84.51,97.68,66.03,76.66,5
SC000376,SUP0024,2022,4,74.14,91.88,80.66,60.21,75.04,79.46,4
SC000377,SUP0024,2023,1,99.47,86.79,91.74,85.48,99.76,92.75,3
SC000378,SUP0024,2023,2,92.28,98.87,77.96,73.84,88.2,89.14,5
SC000379,SUP0024,2023,3,55.48,91.88,75.03,78.66,54.12,72.49,1
SC000380,SUP0024,2023,4,78.78,93.81,73.73,68.47,81.08,81.48,5
SC000381,SUP0024,2024,1,85.85,87.17,74.03,74.76,56.26,79.81,1
SC000382,SUP0024,2024,2,66.28,90.07,86.67,79.11,82.58,80.41,2
SC000383,SUP0024,2024,3,94.29,90.5,71.05,61.36,69.02,82.68,3
SC000384,SUP0024,2024,4,78.62,96.42,82.63,77.42,60.22,82.8,4
SC000385,SUP0025,2021,1,84.29,98.89,85.08,76.1,98.14,89.39,2
SC000386,SUP0025,2021,2,64.26,95.56,80.14,89.92,57.14,78.68,4
SC000387,SUP0025,2021,3,98.62,99.74,76.53,60.04,80.69,88.89,0
SC000388,SUP0025,2021,4,60.64,98.42,94.04,69.29,99.7,83.43,1
SC000389,SUP0025,2022,1,97.99,98.33,92.88,70.02,90.38,93.51,3
SC000390,SUP0025,2022,2,64.1,98.05,73.91,91.41,90.55,81.62,1
SC000391,SUP0025,2022,3,87.86,85.03,99.17,89.17,68.19,87.44,2
SC000392,SUP0025,2022,4,81.89,94.08,88.37,80.8,99.32,88.48,5
SC000393,SUP0025,2023,1,86.9,85.1,98.8,88.5,86.17,88.83,4
SC000394,SUP0025,2023,2,59.37,87.0,93.47,78.25,64.28,76.86,1
SC000395,SUP0025,2023,3,96.08,88.01,83.85,67.37,65.51,85.28,5
SC000396,SUP0025,2023,4,96.78,89.56,88.8,63.51,91.47,89.16,1
SC000397,SUP0025,2024,1,82.28,92.0,75.75,86.23,93.7,85.43,0
SC000398,SUP0025,2024,2,89.04,90.21,70.07,70.19,74.17,82.23,2
SC000399,SUP0025,2024,3,56.85,90.97,72.61,73.79,82.45,74.49,0
SC000400,SUP0025,2024,4,77.26,86.18,90.51,94.63,96.54,86.25,3
SC000401,SUP0026,2021,1,89.21,99.28,79.87,70.78,56.48,85.25,4
SC000402,SUP0026,2021,2,97.6,93.73,91.04,75.47,61.36,89.29,0
SC000403,SUP0026,2021,3,57.6,91.22,86.75,82.12,93.11,79.52,5
SC000404,SUP0026,2021,4,86.57,97.44,97.43,87.56,64.74,89.92,2
SC000405,SUP0026,2022,1,72.31,97.18,97.52,71.32,96.93,87.18,0
SC000406,SUP0026,2022,2,79.19,94.13,75.79,94.41,54.73,82.07,3
SC000407,SUP0026,2022,3,58.94,98.11,70.02,97.37,68.9,77.75,0
SC000408,SUP0026,2022,4,80.71,86.36,74.89,67.91,59.12,77.8,3
SC000409,SUP0026,2023,1,63.9,91.21,71.04,97.24,53.61,75.83,3
SC000410,SUP0026,2023,2,75.6,91.7,79.77,71.14,90.66,82.32,0
SC000411,SUP0026,2023,3,82.45,87.19,77.3,60.63,91.84,81.6,4
SC000412,SUP0026,2023,4,90.5,89.57,98.39,90.03,53.75,88.08,5
SC000413,SUP0026,2024,1,81.56,85.73,77.22,90.53,57.6,80.44,5
SC000414,SUP0026,2024,2,74.68,87.47,72.06,77.66,82.98,79.12,1
SC000415,SUP0026,2024,3,68.95,93.51,84.75,86.75,56.7,80.03,4
SC000416,SUP0026,2024,4,92.88,89.07,85.64,96.59,59.26,87.3,1
SC000417,SUP0027,2021,1,67.03,89.74,83.93,88.17,71.71,79.8,5
SC000418,SUP0027,2021,2,64.62,90.2,78.29,88.96,92.63,80.26,4
SC000419,SUP0027,2021,3,60.91,91.2,79.02,71.89,53.69,74.0,2
SC000420,SUP0027,2021,4,82.39,95.02,75.67,86.04,77.83,84.74,2
SC000421,SUP0027,2022,1,71.54,92.79,82.17,64.72,96.72,81.88,0
SC000422,SUP0027,2022,2,88.75,86.42,95.56,82.45,68.95,86.8,1
SC000423,SUP0027,2022,3,91.75,94.6,81.33,92.23,53.19,86.71,0
SC000424,SUP0027,2022,4,76.37,91.88,87.78,74.91,93.47,84.87,5
SC000425,SUP0027,2023,1,68.04,89.91,91.08,76.4,60.77,79.32,0
SC000426,SUP0027,2023,2,60.95,86.92,82.53,94.89,73.6,77.72,2
SC000427,SUP0027,2023,3,74.38,99.43,79.24,76.12,62.19,81.82,4
SC000428,SUP0027,2023,4,68.3,92.87,88.65,74.69,60.79,79.63,0
SC000429,SUP0027,2024,1,71.1,85.51,81.1,73.36,83.53,78.89,4
SC000430,SUP0027,2024,2,77.66,92.1,94.6,60.46,50.43,80.94,2
SC000431,SUP0027,2024,3,68.75,93.95,73.48,77.56,79.71,79.23,5
SC000432,SUP0027,2024,4,85.91,90.72,87.13,76.49,71.28,85.19,0
SC000433,SUP0028,2021,1,67.69,93.2,73.48,91.98,75.74,79.73,1
SC000434,SUP0028,2021,2,79.32,90.37,73.48,69.85,66.77,79.26,2
SC000435,SUP0028,2021,3,73.53,95.51,83.83,85.45,68.2,82.84,2
SC000436,SUP0028,2021,4,62.83,87.67,81.92,97.88,63.41,77.66,5
SC000437,SUP0028,2022,1,84.8,96.72,83.22,96.31,61.24,86.85,1
SC000438,SUP0028,2022,2,82.92,88.79,91.85,84.94,84.53,86.83,1
SC000439,SUP0028,2022,3,59.39,97.82,92.62,89.7,95.72,84.23,5
SC000440,SUP0028,2022,4,79.04,92.18,84.34,62.37,70.61,81.53,4
SC000441,SUP0028,2023,1,78.24,87.06,91.48,67.41,71.39,81.77,4
SC000442,SUP0028,2023,2,82.89,97.24,81.4,61.98,96.13,86.13,0
SC000443,SUP0028,2023,3,72.84,93.53,92.07,84.03,77.36,84.46,2
SC000444,SUP0028,2023,4,97.72,86.09,99.59,64.62,72.35,88.76,5
SC000445,SUP0028,2024,1,64.56,98.16,97.11,62.02,71.27,81.57,5
SC000446,SUP0028,2024,2,98.89,94.91,80.43,86.47,69.44,89.82,4
SC000447,SUP0028,2024,3,56.84,99.91,98.08,71.53,57.71,79.56,4
SC000448,SUP0028,2024,4,81.59,87.04,92.06,73.05,91.13,85.42,1
SC000449,SUP0029,2021,1,87.07,91.48,73.7,89.95,99.94,87.29,5
SC000450,SUP0029,2021,2,93.38,90.39,73.15,71.53,87.9,85.7,5
SC000451,SUP0029,2021,3,90.47,92.07,98.85,86.75,82.4,91.45,1
SC000452,SUP0029,2021,4,90.7,91.76,98.46,74.64,72.37,89.13,2
SC000453,SUP0029,2022,1,92.32,91.91,78.71,64.34,57.25,83.17,2
SC000454,SUP0029,2022,2,59.54,97.05,74.31,78.25,72.72,76.94,4
SC000455,SUP0029,2022,3,83.44,92.21,84.76,91.37,60.21,84.8,2
SC000456,SUP0029,2022,4,62.9,88.14,97.18,80.95,66.32,79.48,3
SC000457,SUP0029,2023,1,83.38,96.3,71.73,75.53,85.38,84.34,4
SC000458,SUP0029,2023,2,75.11,87.93,90.7,92.95,92.19,85.57,4
SC000459,SUP0029,2023,3,81.41,85.46,75.29,66.95,94.95,81.31,1
SC000460,SUP0029,2023,4,61.58,88.98,83.88,95.05,85.59,80.01,2
SC000461,SUP0029,2024,1,72.44,92.24,82.37,69.76,88.08,81.66,5
SC000462,SUP0029,2024,2,65.74,93.8,71.54,63.45,52.36,73.75,5
SC000463,SUP0029,2024,3,69.87,91.43,87.52,69.44,97.88,82.63,3
SC000464,SUP0029,2024,4,64.62,87.29,89.63,86.44,56.31,77.77,5
SC000465,SUP0030,2021,1,85.81,89.88,80.24,73.65,84.11,84.53,3
SC000466,SUP0030,2021,2,91.52,85.37,82.35,86.42,95.61,87.74,2
SC000467,SUP0030,2021,3,70.27,86.51,93.57,87.64,59.03,80.41,1
SC000468,SUP0030,2021,4,66.27,94.4,94.35,91.53,68.13,83.04,2
SC000469,SUP0030,2022,1,94.95,94.32,77.26,79.45,94.16,89.59,0
SC000470,SUP0030,2022,2,96.94,93.82,70.28,80.94,95.36,88.91,1
SC000471,SUP0030,2022,3,57.27,90.5,75.89,63.23,99.75,75.81,4
SC000472,SUP0030,2022,4,88.19,99.07,82.86,73.29,65.51,86.63,0
SC000473,SUP0030,2023,1,70.39,90.58,95.93,61.61,58.03,79.44,2
SC000474,SUP0030,2023,2,67.34,92.25,71.65,99.8,96.0,81.79,3
SC000475,SUP0030,2023,3,60.62,99.96,76.63,90.56,57.83,78.34,0
SC000476,SUP0030,2023,4,63.09,91.86,71.49,65.12,66.06,73.9,0
SC000477,SUP0030,2024,1,66.21,89.64,90.51,96.88,97.11,84.26,1
SC000478,SUP0030,2024,2,55.76,87.93,93.68,73.93,66.67,75.9,5
SC000479,SUP0030,2024,3,78.26,86.36,89.72,81.33,55.34,81.0,5
SC000480,SUP0030,2024,4,63.02,88.0,81.91,92.15,65.39,77.44,5
SC000481,SUP0031,2021,1,60.04,88.1,86.16,62.02,60.32,73.91,2
SC000482,SUP0031,2021,2,78.46,99.2,74.01,90.63,78.06,84.97,5
SC000483,SUP0031,2021,3,92.91,92.59,87.7,87.73,58.43,87.81,4
SC000484,SUP0031,2021,4,95.67,86.51,74.07,75.49,70.35,84.05,2
SC000485,SUP0031,2022,1,67.34,92.19,84.14,80.92,91.45,81.92,0
SC000486,SUP0031,2022,2,60.51,98.19,91.65,97.43,56.81,81.36,2
SC000487,SUP0031,2022,3,75.85,89.84,75.95,75.62,88.13,81.27,1
SC000488,SUP0031,2022,4,76.65,90.27,82.17,96.95,55.07,81.71,2
SC000489,SUP0031,2023,1,85.76,97.19,89.86,88.25,81.98,89.88,0
SC000490,SUP0031,2023,2,55.29,96.74,97.41,87.74,62.29,80.09,4
SC000491,SUP0031,2023,3,98.44,87.85,81.64,61.98,83.41,86.75,3
SC000492,SUP0031,2023,4,82.73,96.38,71.08,98.67,74.52,85.27,5
SC000493,SUP0031,2024,1,55.73,97.61,75.29,74.12,92.77,77.75,5
SC000494,SUP0031,2024,2,63.86,97.1,84.09,65.24,52.83,76.91,2
SC000495,SUP0031,2024,3,63.27,90.35,90.64,86.79,58.71,78.76,3
SC000496,SUP0031,2024,4,97.0,92.16,94.51,81.53,50.12,88.82,4
SC000497,SUP0032,2021,1,73.91,95.4,93.49,66.54,80.0,84.14,2
SC000498,SUP0032,2021,2,98.08,89.21,96.27,82.01,82.46,91.89,0
SC000499,SUP0032,2021,3,88.16,96.56,93.14,84.57,84.77,90.98,1
SC000500,SUP0032,2021,4,94.04,88.95,94.58,78.74,68.34,88.52,0
SC000501,SUP0032,2022,1,92.99,90.81,86.07,91.51,89.63,90.47,1
SC000502,SUP0032,2022,2,84.84,86.06,75.28,61.34,78.04,80.26,1
SC000503,SUP0032,2022,3,98.19,97.86,81.13,85.49,65.9,90.18,4
SC000504,SUP0032,2022,4,58.47,94.7,82.34,94.89,56.04,77.51,3
SC000505,SUP0032,2023,1,84.05,87.56,73.22,87.8,83.69,83.28,3
SC000506,SUP0032,2023,2,61.11,85.7,82.56,65.93,99.14,77.06,2
SC000507,SUP0032,2023,3,96.37,92.0,70.97,71.18,53.06,83.13,3
SC000508,SUP0032,2023,4,92.8,96.11,87.95,61.94,68.37,87.29,5
SC000509,SUP0032,2024,1,75.7,90.42,75.8,71.54,68.25,78.97,3
SC000510,SUP0032,2024,2,85.7,97.93,77.37,64.11,87.39,85.71,4
SC000511,SUP0032,2024,3,57.07,89.7,83.57,67.06,91.0,76.55,0
SC000512,SUP0032,2024,4,95.86,95.12,71.43,86.17,59.73,86.17,2
SC000513,SUP0033,2021,1,74.83,89.52,82.66,85.68,73.55,81.76,2
SC000514,SUP0033,2021,2,57.72,96.0,77.48,89.37,79.1,78.46,4
SC000515,SUP0033,2021,3,87.2,94.73,81.56,86.9,99.13,89.49,2
SC000516,SUP0033,2021,4,76.32,89.05,70.42,76.11,69.0,78.21,2
SC000517,SUP0033,2022,1,67.46,99.34,80.35,71.8,57.75,79.06,0
SC000518,SUP0033,2022,2,99.86,97.27,99.36,91.77,93.13,97.5,1
SC000519,SUP0033,2022,3,95.83,85.66,75.83,71.39,99.57,86.71,1
SC000520,SUP0033,2022,4,99.5,96.38,97.67,86.23,84.48,95.37,1
SC000521,SUP0033,2023,1,73.71,93.24,83.54,95.36,68.71,83.2,2
SC000522,SUP0033,2023,2,72.99,97.67,77.23,70.75,54.35,79.15,1
SC000523,SUP0033,2023,3,88.64,92.29,75.04,75.36,80.04,84.83,4
SC000524,SUP0033,2023,4,78.38,88.02,90.87,70.36,92.69,84.4,2
SC000525,SUP0033,2024,1,72.84,87.77,88.58,76.9,89.44,82.53,5
SC000526,SUP0033,2024,2,98.46,90.35,76.99,61.74,91.0,87.31,4
SC000527,SUP0033,2024,3,71.2,90.28,99.11,99.72,57.15,83.95,0
SC000528,SUP0033,2024,4,61.29,87.93,90.07,63.92,59.32,75.1,3
SC000529,SUP0034,2021,1,55.05,87.42,95.78,78.86,81.77,77.96,1
SC000530,SUP0034,2021,2,93.02,86.18,94.83,63.13,71.12,86.15,1
SC000531,SUP0034,2021,3,63.74,96.89,94.61,61.86,96.67,82.96,0
SC000532,SUP0034,2021,4,74.22,97.01,89.79,92.01,69.45,85.47,2
SC000533,SUP0034,2022,1,83.51,95.3,96.47,69.99,82.11,88.15,5
SC000534,SUP0034,2022,2,81.73,95.47,91.24,90.68,78.41,88.32,5
SC000535,SUP0034,2022,3,78.67,92.08,81.81,96.9,66.29,83.91,2
SC000536,SUP0034,2022,4,64.7,92.75,87.5,68.97,89.81,80.61,3
SC000537,SUP0034,2023,1,67.93,87.48,96.81,72.45,53.1,78.54,2
SC000538,SUP0034,2023,2,59.1,99.57,85.0,68.94,63.47,77.84,4
SC000539,SUP0034,2023,3,78.48,96.79,96.8,85.94,78.41,88.38,2
SC000540,SUP0034,2023,4,87.76,96.36,72.97,63.14,86.29,84.77,1
SC000541,SUP0034,2024,1,57.13,99.91,91.12,90.7,88.67,83.27,0
SC000542,SUP0034,2024,2,85.23,87.53,82.11,82.24,76.83,84.16,5
SC000543,SUP0034,2024,3,86.62,97.43,82.76,83.07,98.72,89.95,0
SC000544,SUP0034,2024,4,64.56,98.81,87.06,99.82,79.97,84.4,1
SC000545,SUP0035,2021,1,86.95,94.93,97.66,96.68,58.77,89.64,2
SC000546,SUP0035,2021,2,60.85,87.29,93.67,72.94,91.16,79.59,3
SC000547,SUP0035,2021,3,95.56,94.51,96.52,71.77,74.49,90.95,2
SC000548,SUP0035,2021,4,76.99,96.33,91.16,93.53,60.16,85.6,4
SC000549,SUP0035,2022,1,77.8,94.21,72.27,61.47,53.69,77.57,4
SC000550,SUP0035,2022,2,56.86,99.39,70.53,85.44,65.03,76.03,5
SC000551,SUP0035,2022,3,70.85,95.17,94.94,91.79,91.63,87.14,0
SC000552,SUP0035,2022,4,79.68,89.96,92.37,77.04,98.48,86.92,0
SC000553,SUP0035,2023,1,98.1,98.79,84.26,75.15,96.78,93.11,0
SC000554,SUP0035,2023,2,75.88,92.41,95.4,74.87,96.64,86.72,5
SC000555,SUP0035,2023,3,81.8,89.4,88.86,71.74,94.53,85.76,2
SC000556,SUP0035,2023,4,82.34,89.23,78.68,88.46,88.11,84.86,5
SC000557,SUP0035,2024,1,59.42,94.19,73.89,68.65,87.04,76.43,1
SC000558,SUP0035,2024,2,73.16,85.88,85.6,79.79,65.3,79.34,3
SC000559,SUP0035,2024,3,78.52,94.13,80.82,62.87,51.9,79.44,1
SC000560,SUP0035,2024,4,81.9,96.35,70.99,90.99,68.52,83.62,5
SC000561,SUP0036,2021,1,97.54,86.79,72.35,62.6,77.94,83.82,4
SC000562,SUP0036,2021,2,71.24,85.87,74.96,89.95,59.48,77.07,5
SC000563,SUP0036,2021,3,80.5,94.53,77.73,65.07,90.08,83.57,3
SC000564,SUP0036,2021,4,86.56,92.85,92.42,85.32,87.98,89.64,5
SC000565,SUP0036,2022,1,98.32,85.75,78.46,92.84,81.96,88.39,4
SC000566,SUP0036,2022,2,74.4,89.79,84.56,98.65,98.23,85.86,4
SC000567,SUP0036,2022,3,87.65,99.65,83.77,74.0,75.27,87.87,5
SC000568,SUP0036,2022,4,92.03,97.36,73.11,65.38,59.06,83.88,5
SC000569,SUP0036,2023,1,67.44,89.74,72.3,66.0,67.01,74.91,2
SC000570,SUP0036,2023,2,66.41,88.24,86.56,92.77,56.65,78.65,1
SC000571,SUP0036,2023,3,96.82,99.91,84.38,75.36,58.49,89.28,1
SC000572,SUP0036,2023,4,88.74,85.03,83.51,76.39,93.51,85.82,0
SC000573,SUP0036,2024,1,78.04,96.51,95.13,84.93,86.14,88.5,2
SC000574,SUP0036,2024,2,97.7,94.72,93.92,99.01,92.87,95.7,5
SC000575,SUP0036,2024,3,79.63,98.43,85.36,90.93,52.31,84.81,3
SC000576,SUP0036,2024,4,97.93,95.91,88.8,88.71,72.47,92.03,2
SC000577,SUP0037,2021,1,70.13,85.17,89.34,82.71,94.29,82.16,1
SC000578,SUP0037,2021,2,72.59,99.14,98.18,66.79,92.88,87.12,1
SC000579,SUP0037,2021,3,84.43,85.76,90.94,60.48,61.98,81.49,2
SC000580,SUP0037,2021,4,58.32,91.42,91.26,98.1,86.74,81.66,4
SC000581,SUP0037,2022,1,95.98,98.9,88.93,76.69,89.42,92.86,3
SC000582,SUP0037,2022,2,83.17,89.37,79.7,91.53,52.37,82.09,5
SC000583,SUP0037,2022,3,92.89,93.09,85.08,98.01,89.69,91.58,3
SC000584,SUP0037,2022,4,62.51,92.01,94.86,75.95,56.13,78.54,0
SC000585,SUP0037,2023,1,92.3,98.18,74.22,74.47,72.36,86.67,0
SC000586,SUP0037,2023,2,67.41,95.23,91.94,66.0,54.4,79.22,1
SC000587,SUP0037,2023,3,94.25,99.9,87.09,97.82,92.67,94.71,4
SC000588,SUP0037,2023,4,70.37,87.09,88.8,71.19,77.66,79.88,3
SC000589,SUP0037,2024,1,57.32,96.54,90.78,88.73,63.5,79.54,5
SC000590,SUP0037,2024,2,61.99,93.07,80.46,74.09,64.14,76.43,4
SC000591,SUP0037,2024,3,68.82,91.55,95.65,66.06,60.79,79.93,0
SC000592,SUP0037,2024,4,89.79,90.91,95.81,98.15,77.38,90.92,2
SC000593,SUP0038,2021,1,75.81,90.84,82.16,61.9,86.32,81.25,4
SC000594,SUP0038,2021,2,81.04,88.07,74.78,64.51,56.17,77.76,1
SC000595,SUP0038,2021,3,80.54,97.73,96.34,66.25,58.92,85.27,0
SC000596,SUP0038,2021,4,68.75,86.89,86.01,67.83,58.7,76.55,2
SC000597,SUP0038,2022,1,60.16,88.74,97.27,92.53,54.2,78.8,1
SC000598,SUP0038,2022,2,95.52,95.25,97.83,71.52,53.56,89.3,1
SC000599,SUP0038,2022,3,84.87,86.58,90.22,60.9,67.08,82.28,1
SC000600,SUP0038,2022,4,82.83,91.37,95.48,74.95,68.6,85.71,4
SC000601,SUP0038,2023,1,76.64,85.21,91.09,65.93,54.54,78.82,0
SC000602,SUP0038,2023,2,72.18,90.73,81.24,61.05,73.77,78.6,4
SC000603,SUP0038,2023,3,75.22,85.32,92.55,61.71,51.94,78.04,2
SC000604,SUP0038,2023,4,80.53,99.91,71.01,61.99,99.44,84.48,1
SC000605,SUP0038,2024,1,61.56,99.66,97.43,86.34,51.44,81.63,2
SC000606,SUP0038,2024,2,81.57,89.3,79.87,60.8,61.76,79.49,5
SC000607,SUP0038,2024,3,58.16,96.53,99.32,63.18,95.91,82.18,3
SC000608,SUP0038,2024,4,64.54,88.12,86.04,77.38,95.4,80.28,0
SC000609,SUP0039,2021,1,72.53,85.19,93.39,84.0,56.16,80.01,5
SC000610,SUP0039,2021,2,75.08,93.21,85.89,97.69,70.19,84.45,2
SC000611,SUP0039,2021,3,99.96,88.66,81.48,85.55,82.2,89.66,5
SC000612,SUP0039,2021,4,59.31,99.52,78.27,79.0,85.62,79.77,1
SC000613,SUP0039,2022,1,62.82,97.91,98.11,63.51,67.83,80.97,5
SC000614,SUP0039,2022,2,92.71,97.39,78.27,89.74,90.4,90.7,0
SC000615,SUP0039,2022,3,77.52,97.93,99.35,68.61,54.51,84.82,1
SC000616,SUP0039,2022,4,69.08,98.83,72.51,79.23,73.65,80.16,0
SC000617,SUP0039,2023,1,60.61,89.43,83.57,60.62,96.49,77.44,2
SC000618,SUP0039,2023,2,84.06,94.24,87.43,76.18,81.13,86.71,1
SC000619,SUP0039,2023,3,98.28,85.64,82.68,80.32,64.74,86.22,4
SC000620,SUP0039,2023,4,97.75,91.14,78.52,63.68,95.3,88.27,5
SC000621,SUP0039,2024,1,95.18,86.89,84.44,82.6,92.42,89.01,4
SC000622,SUP0039,2024,2,57.29,98.93,86.54,85.73,84.18,81.17,4
SC000623,SUP0039,2024,3,77.36,92.15,82.34,98.91,58.7,83.08,3
SC000624,SUP0039,2024,4,77.23,92.08,91.01,98.16,73.39,86.15,2
SC000625,SUP0040,2021,1,96.77,89.68,92.56,92.24,68.52,90.52,0
SC000626,SUP0040,2021,2,89.41,98.69,74.5,94.25,98.24,90.58,4
SC000627,SUP0040,2021,3,66.34,93.97,99.54,99.4,51.43,83.08,3
SC000628,SUP0040,2021,4,93.9,92.64,73.46,89.92,91.26,88.77,3
SC000629,SUP0040,2022,1,98.26,89.78,91.3,70.93,96.12,91.38,2
SC000630,SUP0040,2022,2,97.49,89.36,95.1,95.39,65.48,91.16,5
SC000631,SUP0040,2022,3,90.99,98.23,94.15,64.06,56.31,87.63,1
SC000632,SUP0040,2022,4,96.06,95.52,88.93,75.23,91.89,91.97,3
SC000633,SUP0040,2023,1,63.51,87.43,95.51,93.95,69.11,80.69,5
SC000634,SUP0040,2023,2,94.68,90.86,84.62,62.35,66.18,85.44,4
SC000635,SUP0040,2023,3,60.12,88.07,73.75,87.86,83.24,76.32,3
SC000636,SUP0040,2023,4,80.68,93.71,87.91,97.34,76.03,87.24,4
SC000637,SUP0040,2024,1,61.4,93.89,72.92,64.44,51.25,72.74,2
SC000638,SUP0040,2024,2,95.13,94.8,91.21,60.05,68.41,88.07,0
SC000639,SUP0040,2024,3,55.57,87.23,99.31,71.31,55.93,75.43,3
SC000640,SUP0040,2024,4,58.07,90.02,98.89,90.88,62.77,79.57,2
SC000641,SUP0041,2021,1,60.16,89.9,71.98,96.03,72.03,76.22,3
SC000642,SUP0041,2021,2,78.47,89.29,77.18,87.74,78.7,82.41,0
SC000643,SUP0041,2021,3,74.14,88.31,99.91,78.25,82.88,84.83,1
SC000644,SUP0041,2021,4,55.55,96.17,87.54,64.35,93.3,78.79,1
SC000645,SUP0041,2022,1,94.51,98.6,71.86,76.77,66.75,86.66,1
SC000646,SUP0041,2022,2,94.56,97.34,75.08,85.68,83.11,89.47,1
SC000647,SUP0041,2022,3,78.63,94.39,89.66,88.94,64.82,85.21,0
SC000648,SUP0041,2022,4,91.08,85.39,73.55,64.72,64.1,80.53,3
SC000649,SUP0041,2023,1,88.84,87.48,89.9,60.13,65.36,83.43,0
SC000650,SUP0041,2023,2,96.05,88.82,93.14,80.62,78.44,89.99,1
SC000651,SUP0041,2023,3,73.1,99.51,86.37,60.98,69.75,82.13,0
SC000652,SUP0041,2023,4,69.62,85.02,88.29,97.41,53.47,79.14,1
SC000653,SUP0041,2024,1,96.69,95.47,99.94,96.32,70.95,94.36,1
SC000654,SUP0041,2024,2,67.22,85.35,74.3,96.25,96.49,79.91,0
SC000655,SUP0041,2024,3,59.87,98.27,96.96,94.67,50.11,81.31,5
SC000656,SUP0041,2024,4,98.34,93.9,92.23,79.34,66.58,90.71,2
SC000657,SUP0042,2021,1,74.77,98.3,91.09,75.78,93.59,87.08,2
SC000658,SUP0042,2021,2,86.69,99.0,92.27,98.49,89.27,92.94,3
SC000659,SUP0042,2021,3,59.06,98.99,99.95,86.13,71.17,83.14,2
SC000660,SUP0042,2021,4,73.18,98.5,87.02,75.42,58.0,82.25,0
SC000661,SUP0042,2022,1,68.33,95.49,82.99,74.53,68.09,80.01,1
