po_id,supplier_id,product_id,plant_id,order_date,fiscal_year,fiscal_month,scheduled_delivery,actual_delivery,delay_days,quantity_ordered,unit_price_usd,total_value_usd,status,defect_rate_pct,on_time_delivery
PO000469,SUP0014,PRD0021,PLT001,2023-03-18,2023,3,2023-04-10,2023-05-09,29,4117,1246.95,5133693.15,Delivered,7.94,N
PO000470,SUP0098,PRD0011,PLT003,2021-08-16,2021,8,2021-09-25,2021-09-25,0,4258,919.04,3913272.32,Delivered,1.44,Y
PO000471,SUP0024,PRD0046,PLT002,2023-10-02,2023,10,2023-10-05,2023-10-05,0,2146,1954.12,4193541.52,In Transit,6.24,Y
PO000472,SUP0014,PRD0053,PLT002,2021-10-15,2021,10,2021-11-07,2021-11-08,1,2518,1433.07,3608470.26,Delivered,5.2,N
PO000473,SUP0038,PRD0015,PLT008,2021-12-03,2021,12,2021-12-12,2022-01-06,25,4369,865.3,3780495.7,Partial,3.43,N
PO000474,SUP0117,PRD0010,PLT005,2024-05-05,2024,5,2024-06-13,2024-06-13,0,4694,912.26,4282148.44,Partial,4.31,Y
PO000475,SUP0040,PRD0020,PLT002,2024-10-19,2024,10,2024-11-06,2024-11-06,0,3157,715.51,2258865.07,In Transit,1.4,Y
PO000476,SUP0070,PRD0009,PLT005,2023-02-25,2023,2,2023-03-19,2023-03-19,0,1669,337.17,562736.73,Delayed,4.39,Y
PO000477,SUP0090,PRD0028,PLT001,2022-02-04,2022,2,2022-02-20,2022-02-20,0,2409,1688.66,4067981.94,Delivered,3.2,Y
PO000478,SUP0080,PRD0054,PLT003,2024-06-23,2024,6,2024-07-13,2024-07-24,11,828,1438.49,1191069.72,Partial,1.35,N
PO000479,SUP0032,PRD0013,PLT001,2022-06-20,2022,6,2022-06-27,2022-06-27,0,4765,1942.13,9254249.45,Delivered,5.97,Y
PO000480,SUP0013,PRD0012,PLT003,2024-04-20,2024,4,2024-05-13,2024-06-12,30,4504,1651.19,7436959.76,Partial,3.08,N
PO000481,SUP0022,PRD0034,PLT002,2023-10-08,2023,10,2023-11-04,2023-11-04,0,2406,464.0,1116384.0,Delivered,5.29,Y
PO000482,SUP0067,PRD0043,PLT002,2021-02-12,2021,2,2021-03-09,2021-03-09,0,2719,1995.75,5426444.25,Partial,0.56,Y
PO000483,SUP0028,PRD0016,PLT008,2021-12-26,2021,12,2022-02-06,2022-02-08,2,4441,164.63,731121.83,In Transit,0.18,N
PO000484,SUP0050,PRD0056,PLT008,2022-06-06,2022,6,2022-07-13,2022-07-13,0,1383,1174.11,1623794.13,Cancelled,5.05,Y
PO000485,SUP0095,PRD0055,PLT003,2024-09-27,2024,9,2024-11-07,2024-11-10,3,1543,1710.04,2638591.72,Delivered,1.11,N
PO000486,SUP0077,PRD0053,PLT005,2024-12-14,2024,12,2024-12-22,2024-12-21,-1,1166,717.5,836605.0,Delivered,7.27,Y
PO000487,SUP0036,PRD0032,PLT001,2023-09-16,2023,9,2023-10-16,2023-10-16,0,3226,1604.54,5176246.04,Delivered,1.19,Y
PO000488,SUP0042,PRD0060,PLT007,2023-03-05,2023,3,2023-04-10,2023-04-10,0,1471,746.33,1097851.43,Delayed,0.26,Y
PO000489,SUP0105,PRD0005,PLT006,2022-04-15,2022,4,2022-05-26,2022-05-26,0,121,20.47,2476.87,Cancelled,2.91,Y
PO000490,SUP0034,PRD0056,PLT002,2021-01-17,2021,1,2021-02-03,2021-02-03,0,2931,1226.75,3595604.25,In Transit,6.24,Y
PO000491,SUP0090,PRD0053,PLT001,2024-11-07,2024,11,2024-11-23,2024-11-23,0,4686,1777.22,8328052.92,Partial,6.35,Y
PO000492,SUP0035,PRD0010,PLT004,2022-09-13,2022,9,2022-09-16,2022-09-23,7,3826,1012.1,3872294.6,Delivered,1.05,N
PO000493,SUP0008,PRD0037,PLT008,2023-06-14,2023,6,2023-06-25,2023-06-25,0,1467,795.71,1167306.57,Delivered,6.38,Y
PO000494,SUP0104,PRD0038,PLT007,2024-09-21,2024,9,2024-09-29,2024-09-29,0,1080,1772.63,1914440.4,Delayed,4.47,Y
PO000495,SUP0104,PRD0011,PLT002,2022-12-10,2022,12,2022-12-18,2022-12-20,2,2488,1601.09,3983511.92,Delivered,4.31,N
PO000496,SUP0074,PRD0028,PLT004,2022-11-11,2022,11,2022-11-22,2022-11-22,0,4652,1852.27,8616760.04,Delayed,3.34,Y
PO000497,SUP0029,PRD0028,PLT004,2023-11-08,2023,11,2023-11-20,2023-11-20,0,3140,1905.46,5983144.4,Delayed,6.86,Y
PO000498,SUP0103,PRD0009,PLT006,2024-12-02,2024,12,2024-12-07,2024-12-07,0,3947,607.82,2399065.54,Cancelled,1.94,Y
PO000499,SUP0114,PRD0009,PLT006,2022-04-16,2022,4,2022-05-10,2022-05-13,3,4971,1804.28,8969075.88,Partial,2.06,N
PO000500,SUP0031,PRD0031,PLT001,2021-09-18,2021,9,2021-10-16,2021-10-16,0,1083,1321.51,1431195.33,Delivered,2.22,Y
PO000501,SUP0035,PRD0010,PLT006,2021-02-05,2021,2,2021-02-08,2021-02-08,0,620,591.89,366971.8,Delivered,3.57,Y
PO000502,SUP0024,PRD0005,PLT008,2023-11-11,2023,11,2023-11-14,2023-11-14,0,3154,878.96,2772239.84,Cancelled,5.45,Y
PO000503,SUP0003,PRD0054,PLT001,2022-07-20,2022,7,2022-08-28,2022-08-28,0,973,1406.02,1368057.46,Cancelled,4.47,Y
PO000504,SUP0048,PRD0024,PLT005,2024-01-07,2024,1,2024-01-29,2024-01-29,0,186,685.33,127471.38,Cancelled,5.21,Y
PO000505,SUP0109,PRD0026,PLT008,2022-11-17,2022,11,2022-12-23,2022-12-23,0,2583,155.37,401320.71,In Transit,3.13,Y
PO000506,SUP0041,PRD0020,PLT001,2023-05-18,2023,5,2023-06-17,2023-06-17,0,3692,575.37,2124266.04,Partial,5.33,Y
PO000507,SUP0045,PRD0050,PLT003,2023-09-06,2023,9,2023-09-23,2023-09-23,0,4655,1555.23,7239595.65,Delivered,6.02,Y
PO000508,SUP0002,PRD0026,PLT006,2023-11-05,2023,11,2023-12-17,2023-12-14,-3,1741,1490.82,2595517.62,Cancelled,2.43,Y
PO000509,SUP0098,PRD0037,PLT005,2024-04-06,2024,4,2024-05-16,2024-05-16,0,1974,1539.0,3037986.0,Partial,1.73,Y
PO000510,SUP0011,PRD0056,PLT004,2022-11-17,2022,11,2022-12-11,2023-01-10,30,2246,1589.18,3569298.28,Delayed,3.74,N
PO000511,SUP0061,PRD0013,PLT008,2023-12-10,2023,12,2024-01-23,2024-01-23,0,4217,1735.05,7316705.85,Cancelled,6.96,Y
PO000512,SUP0057,PRD0036,PLT003,2022-07-13,2022,7,2022-08-17,2022-09-01,15,3767,1565.46,5897087.82,In Transit,1.74,N
PO000513,SUP0087,PRD0028,PLT008,2024-01-12,2024,1,2024-02-13,2024-03-01,17,3473,790.66,2745962.18,Delivered,0.15,N
PO000514,SUP0016,PRD0027,PLT005,2022-12-19,2022,12,2023-01-03,2023-01-01,-2,1029,966.78,994816.62,Delivered,6.01,Y
PO000515,SUP0071,PRD0020,PLT004,2024-06-25,2024,6,2024-07-17,2024-07-17,0,1088,1132.41,1232062.08,In Transit,1.08,Y
PO000516,SUP0071,PRD0055,PLT008,2021-02-13,2021,2,2021-03-07,2021-03-07,0,245,1283.78,314526.1,Delivered,6.4,Y
PO000517,SUP0022,PRD0002,PLT006,2024-04-06,2024,4,2024-05-03,2024-05-26,23,4027,482.47,1942906.69,Delayed,6.2,N
PO000518,SUP0076,PRD0007,PLT002,2024-08-23,2024,8,2024-08-28,2024-08-28,0,1845,778.17,1435723.65,Partial,2.29,Y
PO000519,SUP0075,PRD0042,PLT003,2022-02-22,2022,2,2022-04-02,2022-04-02,0,1827,1133.34,2070612.18,Delivered,1.44,Y
PO000520,SUP0027,PRD0007,PLT001,2024-08-17,2024,8,2024-08-27,2024-08-27,0,166,914.39,151788.74,Cancelled,7.2,Y
PO000521,SUP0100,PRD0012,PLT005,2024-06-12,2024,6,2024-06-20,2024-06-20,0,3817,395.94,1511302.98,Cancelled,2.2,Y
PO000522,SUP0086,PRD0012,PLT002,2022-10-02,2022,10,2022-11-07,2022-12-05,28,2597,1144.91,2973331.27,Cancelled,3.41,N
PO000523,SUP0109,PRD0035,PLT004,2021-03-15,2021,3,2021-04-20,2021-04-20,0,3515,701.23,2464823.45,Delivered,4.19,Y
PO000524,SUP0115,PRD0054,PLT003,2024-07-09,2024,7,2024-07-20,2024-07-20,0,1843,486.93,897411.99,In Transit,3.04,Y
PO000525,SUP0047,PRD0055,PLT004,2022-04-01,2022,4,2022-04-21,2022-04-21,0,2331,355.95,829719.45,Cancelled,1.21,Y
PO000526,SUP0033,PRD0021,PLT001,2024-09-17,2024,9,2024-10-29,2024-11-12,14,1598,1058.65,1691722.7,Delivered,1.21,N
PO000527,SUP0085,PRD0032,PLT008,2022-11-06,2022,11,2022-11-19,2022-11-19,0,1642,1710.44,2808542.48,Cancelled,2.93,Y
PO000528,SUP0039,PRD0027,PLT001,2021-10-18,2021,10,2021-11-23,2021-11-23,0,1168,45.18,52770.24,Delayed,3.16,Y
PO000529,SUP0011,PRD0002,PLT005,2023-10-28,2023,10,2023-11-21,2023-11-21,0,607,1400.3,849982.1,Delivered,7.99,Y
PO000530,SUP0038,PRD0029,PLT004,2024-01-09,2024,1,2024-01-18,2024-01-14,-4,1943,565.92,1099582.56,Delayed,7.23,Y
PO000531,SUP0039,PRD0008,PLT006,2022-04-28,2022,4,2022-06-03,2022-06-03,0,1041,1983.64,2064969.24,Delivered,4.08,Y
PO000532,SUP0067,PRD0004,PLT005,2022-01-20,2022,1,2022-02-14,2022-02-26,12,3940,494.5,1948330.0,Partial,1.79,N
PO000533,SUP0106,PRD0025,PLT006,2023-06-20,2023,6,2023-07-12,2023-07-12,0,3973,1104.42,4387860.66,Delayed,5.27,Y
PO000534,SUP0054,PRD0028,PLT005,2023-10-09,2023,10,2023-11-07,2023-11-07,0,1716,1177.69,2020916.04,Delivered,1.76,Y
PO000535,SUP0114,PRD0040,PLT002,2022-03-20,2022,3,2022-04-13,2022-04-13,0,979,1012.9,991629.1,In Transit,6.64,Y
PO000536,SUP0041,PRD0001,PLT005,2024-06-11,2024,6,2024-07-11,2024-07-11,0,249,473.4,117876.6,Delayed,7.63,Y
PO000537,SUP0096,PRD0010,PLT007,2021-03-10,2021,3,2021-03-20,2021-03-20,0,1959,1475.77,2891033.43,Delayed,1.22,Y
PO000538,SUP0095,PRD0026,PLT007,2024-11-01,2024,11,2024-12-12,2024-12-12,0,3872,1918.19,7427231.68,Cancelled,7.93,Y
PO000539,SUP0017,PRD0040,PLT007,2022-07-03,2022,7,2022-08-07,2022-08-07,0,4635,641.27,2972286.45,Delivered,3.57,Y
PO000540,SUP0119,PRD0020,PLT005,2024-09-24,2024,9,2024-11-03,2024-11-03,0,815,1976.54,1610880.1,Delivered,0.79,Y
PO000541,SUP0056,PRD0005,PLT002,2023-11-05,2023,11,2023-12-06,2023-12-06,0,839,1366.15,1146199.85,Cancelled,2.34,Y
PO000542,SUP0034,PRD0024,PLT001,2024-04-11,2024,4,2024-04-28,2024-04-28,0,4583,241.86,1108444.38,Delivered,4.64,Y
PO000543,SUP0116,PRD0028,PLT003,2022-02-04,2022,2,2022-02-08,2022-03-07,27,1891,226.23,427800.93,Partial,0.23,N
PO000544,SUP0062,PRD0036,PLT002,2022-08-20,2022,8,2022-09-27,2022-09-27,0,3240,1047.09,3392571.6,Delivered,0.95,Y
PO000545,SUP0025,PRD0044,PLT008,2023-11-11,2023,11,2023-11-28,2023-11-30,2,277,566.02,156787.54,Partial,1.9,N
PO000546,SUP0045,PRD0029,PLT002,2024-04-10,2024,4,2024-04-27,2024-04-27,0,1812,739.47,1339919.64,Delivered,6.61,Y
PO000547,SUP0116,PRD0013,PLT006,2023-05-18,2023,5,2023-05-22,2023-05-30,8,4217,1184.52,4995120.84,Partial,5.38,N
PO000548,SUP0071,PRD0030,PLT006,2022-09-14,2022,9,2022-10-06,2022-10-06,0,341,1769.08,603256.28,Delivered,0.84,Y
PO000549,SUP0117,PRD0017,PLT004,2021-03-04,2021,3,2021-04-12,2021-04-12,0,3999,1241.49,4964718.51,Delayed,0.87,Y
PO000550,SUP0024,PRD0012,PLT004,2023-01-03,2023,1,2023-01-06,2023-01-06,0,2733,592.88,1620341.04,In Transit,1.88,Y
PO000551,SUP0080,PRD0035,PLT005,2021-03-23,2021,3,2021-04-12,2021-04-12,0,1069,1380.79,1476064.51,Partial,1.7,Y
PO000552,SUP0055,PRD0050,PLT006,2023-04-14,2023,4,2023-05-25,2023-06-04,10,4625,988.85,4573431.25,Partial,6.13,N
PO000553,SUP0046,PRD0003,PLT005,2021-06-24,2021,6,2021-07-20,2021-08-05,16,2329,67.71,157696.59,Cancelled,5.72,N
PO000554,SUP0055,PRD0025,PLT004,2021-04-20,2021,4,2021-05-31,2021-06-28,28,1349,302.21,407681.29,Delayed,0.46,N
PO000555,SUP0066,PRD0048,PLT001,2024-04-18,2024,4,2024-05-21,2024-05-19,-2,1926,1160.63,2235373.38,Partial,6.41,Y
PO000556,SUP0094,PRD0003,PLT006,2024-09-18,2024,9,2024-10-14,2024-10-14,0,2692,112.31,302338.52,Delivered,7.36,Y
PO000557,SUP0115,PRD0006,PLT003,2024-04-17,2024,4,2024-04-28,2024-04-28,0,3635,1908.4,6937034.0,Delivered,0.48,Y
PO000558,SUP0030,PRD0021,PLT005,2023-04-18,2023,4,2023-05-29,2023-05-24,-5,4727,527.12,2491696.24,Delivered,4.77,Y
PO000559,SUP0030,PRD0045,PLT003,2023-09-23,2023,9,2023-11-03,2023-11-03,0,4629,904.88,4188689.52,Partial,6.21,Y
PO000560,SUP0019,PRD0011,PLT004,2023-03-01,2023,3,2023-03-23,2023-03-23,0,953,868.13,827327.89,Delivered,0.56,Y
PO000561,SUP0024,PRD0013,PLT001,2023-05-19,2023,5,2023-05-22,2023-06-11,20,2271,1611.25,3659148.75,Partial,5.19,N
PO000562,SUP0007,PRD0039,PLT007,2022-02-27,2022,2,2022-03-26,2022-03-26,0,2698,1066.92,2878550.16,Delivered,2.9,Y
PO000563,SUP0042,PRD0047,PLT003,2022-09-09,2022,9,2022-10-15,2022-10-15,0,4202,958.72,4028541.44,Cancelled,4.25,Y
PO000564,SUP0040,PRD0050,PLT008,2021-12-11,2021,12,2021-12-29,2021-12-29,0,420,1751.45,735609.0,Delivered,2.69,Y
PO000565,SUP0014,PRD0048,PLT007,2024-04-04,2024,4,2024-04-27,2024-04-27,0,4354,883.5,3846759.0,Delivered,3.75,Y
PO000566,SUP0064,PRD0052,PLT003,2024-02-15,2024,2,2024-02-27,2024-02-27,0,3843,1975.25,7590885.75,Delivered,7.34,Y
PO000567,SUP0003,PRD0037,PLT002,2022-08-05,2022,8,2022-09-13,2022-09-21,8,4186,1501.03,6283311.58,Cancelled,0.39,N
PO000568,SUP0066,PRD0012,PLT003,2021-07-07,2021,7,2021-08-09,2021-08-09,0,4531,262.54,1189568.74,Partial,5.35,Y
PO000569,SUP0039,PRD0018,PLT007,2021-02-01,2021,2,2021-03-09,2021-03-24,15,2244,1358.95,3049483.8,Cancelled,2.48,N
PO000570,SUP0075,PRD0043,PLT002,2021-09-13,2021,9,2021-10-22,2021-10-22,0,2074,1235.44,2562302.56,Delivered,1.07,Y
PO000571,SUP0096,PRD0021,PLT004,2022-10-14,2022,10,2022-10-24,2022-10-22,-2,1900,666.67,1266673.0,Delivered,3.11,Y
PO000572,SUP0104,PRD0057,PLT002,2022-07-05,2022,7,2022-07-13,2022-07-13,0,406,1995.44,810148.64,Cancelled,4.96,Y
PO000573,SUP0063,PRD0032,PLT002,2021-08-06,2021,8,2021-09-16,2021-09-16,0,1996,1376.81,2748112.76,Delivered,7.88,Y
PO000574,SUP0006,PRD0049,PLT006,2022-06-09,2022,6,2022-06-13,2022-07-03,20,4929,1553.21,7655772.09,Delivered,6.84,N
PO000575,SUP0116,PRD0007,PLT006,2023-12-13,2023,12,2023-12-17,2024-01-01,15,357,1573.98,561910.86,Delivered,3.15,N
PO000576,SUP0050,PRD0050,PLT007,2023-03-02,2023,3,2023-04-08,2023-04-08,0,1183,677.93,801991.19,Cancelled,3.94,Y
PO000577,SUP0043,PRD0060,PLT006,2021-01-23,2021,1,2021-02-07,2021-02-07,0,3120,966.39,3015136.8,Delivered,0.23,Y
PO000578,SUP0001,PRD0031,PLT003,2022-05-08,2022,5,2022-05-19,2022-05-19,0,4213,1341.64,5652329.32,Delivered,6.65,Y
PO000579,SUP0017,PRD0021,PLT005,2021-04-28,2021,4,2021-06-02,2021-06-02,0,937,1214.67,1138145.79,Delivered,1.75,Y
PO000580,SUP0066,PRD0022,PLT004,2024-12-01,2024,12,2025-01-03,2024-12-29,-5,3496,1187.97,4153143.12,Delayed,4.97,Y
PO000581,SUP0006,PRD0044,PLT002,2024-12-18,2024,12,2024-12-22,2025-01-06,15,420,1867.9,784518.0,Delayed,5.14,N
PO000582,SUP0053,PRD0007,PLT002,2023-09-20,2023,9,2023-10-20,2023-10-20,0,580,1416.04,821303.2,In Transit,3.87,Y
PO000583,SUP0064,PRD0027,PLT007,2022-08-15,2022,8,2022-08-27,2022-08-27,0,3313,809.85,2683033.05,Partial,0.34,Y
PO000584,SUP0111,PRD0007,PLT001,2022-11-24,2022,11,2023-01-04,2023-01-04,0,771,1405.82,1083887.22,Delivered,5.2,Y
PO000585,SUP0116,PRD0032,PLT008,2023-08-21,2023,8,2023-08-25,2023-08-25,0,456,1195.49,545143.44,Cancelled,1.05,Y
PO000586,SUP0113,PRD0031,PLT002,2024-06-21,2024,6,2024-07-26,2024-07-26,0,2813,1977.93,5563917.09,Delivered,7.76,Y
PO000587,SUP0099,PRD0001,PLT001,2024-08-27,2024,8,2024-09-21,2024-09-21,0,4115,204.96,843410.4,Cancelled,4.65,Y
PO000588,SUP0118,PRD0042,PLT005,2021-03-03,2021,3,2021-04-02,2021-04-02,0,4566,1466.9,6697865.4,Delivered,4.83,Y
PO000589,SUP0074,PRD0054,PLT003,2023-06-15,2023,6,2023-06-26,2023-06-26,0,4951,1109.29,5492094.79,Partial,5.27,Y
PO000590,SUP0112,PRD0032,PLT001,2022-10-02,2022,10,2022-10-31,2022-10-27,-4,1412,1410.65,1991837.8,In Transit,5.6,Y
PO000591,SUP0060,PRD0027,PLT004,2021-10-24,2021,10,2021-11-08,2021-11-08,0,762,558.61,425660.82,In Transit,3.28,Y
PO000592,SUP0028,PRD0007,PLT005,2021-04-20,2021,4,2021-06-01,2021-06-01,0,429,1051.28,450999.12,Delivered,7.06,Y
PO000593,SUP0100,PRD0026,PLT001,2021-04-24,2021,4,2021-05-02,2021-05-02,0,4255,1405.68,5981168.4,Delivered,0.24,Y
PO000594,SUP0105,PRD0047,PLT008,2024-10-04,2024,10,2024-11-14,2024-11-28,14,2430,1040.51,2528439.3,Delivered,2.9,N
PO000595,SUP0019,PRD0014,PLT005,2021-04-26,2021,4,2021-05-18,2021-05-18,0,1323,1515.38,2004847.74,Cancelled,0.78,Y
PO000596,SUP0075,PRD0052,PLT005,2023-09-09,2023,9,2023-10-18,2023-10-18,0,1471,1962.48,2886808.08,Delivered,3.71,Y
PO000597,SUP0113,PRD0020,PLT002,2022-02-03,2022,2,2022-03-10,2022-03-10,0,2570,820.39,2108402.3,Cancelled,6.19,Y
PO000598,SUP0050,PRD0049,PLT007,2022-10-28,2022,10,2022-12-04,2022-12-18,14,3495,1618.37,5656203.15,Delivered,0.68,N
PO000599,SUP0035,PRD0010,PLT006,2022-11-19,2022,11,2022-11-22,2022-12-05,13,1855,1945.1,3608160.5,In Transit,0.72,N
PO000600,SUP0026,PRD0053,PLT008,2021-04-11,2021,4,2021-05-01,2021-05-01,0,1847,1773.4,3275469.8,In Transit,2.1,Y
PO000601,SUP0096,PRD0014,PLT004,2024-03-18,2024,3,2024-03-28,2024-03-28,0,711,1605.73,1141674.03,Delivered,3.55,Y
PO000602,SUP0019,PRD0001,PLT003,2021-07-01,2021,7,2021-07-23,2021-07-23,0,3672,1235.69,4537453.68,Cancelled,2.38,Y
PO000603,SUP0002,PRD0004,PLT002,2022-04-16,2022,4,2022-05-28,2022-05-28,0,4298,1429.69,6144807.62,Delivered,6.83,Y
PO000604,SUP0051,PRD0028,PLT004,2023-02-12,2023,2,2023-03-25,2023-04-04,10,1987,313.82,623560.34,Delivered,4.85,N
PO000605,SUP0070,PRD0007,PLT004,2021-06-12,2021,6,2021-07-04,2021-07-04,0,1147,931.97,1068969.59,Partial,1.32,Y
PO000606,SUP0087,PRD0036,PLT007,2024-04-25,2024,4,2024-05-27,2024-05-30,3,3278,1154.84,3785565.52,Delivered,5.19,N
PO000607,SUP0079,PRD0049,PLT007,2022-01-18,2022,1,2022-02-10,2022-02-10,0,3430,1962.21,6730380.3,Delivered,4.96,Y
PO000608,SUP0008,PRD0018,PLT003,2024-02-26,2024,2,2024-03-08,2024-03-08,0,1303,1766.13,2301267.39,Delivered,5.78,Y
PO000609,SUP0063,PRD0008,PLT006,2022-05-15,2022,5,2022-06-25,2022-06-25,0,2991,1743.82,5215765.62,Delivered,0.52,Y
PO000610,SUP0073,PRD0057,PLT008,2023-01-17,2023,1,2023-02-18,2023-03-09,19,2840,1099.55,3122722.0,Partial,3.64,N
PO000611,SUP0105,PRD0058,PLT003,2022-02-09,2022,2,2022-03-22,2022-04-04,13,1353,221.36,299500.08,Partial,7.0,N
PO000612,SUP0047,PRD0059,PLT002,2021-09-08,2021,9,2021-09-28,2021-09-28,0,598,1775.35,1061659.3,In Transit,1.88,Y
PO000613,SUP0010,PRD0045,PLT006,2023-02-19,2023,2,2023-03-08,2023-03-08,0,775,1106.73,857715.75,In Transit,5.41,Y
PO000614,SUP0046,PRD0003,PLT007,2021-06-15,2021,6,2021-07-11,2021-07-11,0,3904,1911.73,7463393.92,Delivered,6.79,Y
PO000615,SUP0025,PRD0031,PLT002,2024-12-08,2024,12,2024-12-25,2024-12-25,0,2581,1863.36,4809332.16,Delayed,0.78,Y
PO000616,SUP0015,PRD0016,PLT006,2022-01-06,2022,1,2022-02-16,2022-02-16,0,3734,1248.24,4660928.16,Delivered,5.5,Y
PO000617,SUP0110,PRD0010,PLT008,2021-07-11,2021,7,2021-07-30,2021-07-30,0,3220,228.39,735415.8,Partial,2.88,Y
PO000618,SUP0046,PRD0005,PLT005,2022-06-24,2022,6,2022-07-20,2022-07-20,0,1909,284.36,542843.24,Delayed,4.41,Y
PO000619,SUP0020,PRD0011,PLT005,2024-10-13,2024,10,2024-10-28,2024-10-28,0,3182,1512.77,4813634.14,Partial,4.33,Y
PO000620,SUP0059,PRD0019,PLT006,2024-11-01,2024,11,2024-11-09,2024-12-01,22,1849,1917.91,3546215.59,Delayed,3.65,N
PO000621,SUP0045,PRD0047,PLT001,2023-10-07,2023,10,2023-10-24,2023-10-24,0,1233,1111.97,1371059.01,In Transit,3.27,Y
PO000622,SUP0082,PRD0053,PLT003,2022-05-28,2022,5,2022-06-21,2022-06-21,0,2023,90.69,183465.87,Delivered,6.75,Y
PO000623,SUP0096,PRD0003,PLT006,2023-06-07,2023,6,2023-06-17,2023-06-17,0,3493,1357.92,4743214.56,Delivered,1.31,Y
PO000624,SUP0007,PRD0011,PLT003,2024-11-01,2024,11,2024-11-28,2024-12-04,6,2248,780.31,1754136.88,Delivered,7.64,N
PO000625,SUP0120,PRD0022,PLT003,2022-06-03,2022,6,2022-07-12,2022-07-12,0,2066,672.7,1389798.2,Delivered,3.31,Y
PO000626,SUP0045,PRD0034,PLT001,2021-05-03,2021,5,2021-05-20,2021-05-30,10,1652,1500.16,2478264.32,Delayed,5.56,N
PO000627,SUP0085,PRD0008,PLT004,2024-09-03,2024,9,2024-09-16,2024-09-16,0,4236,1223.79,5183974.44,In Transit,7.72,Y
PO000628,SUP0010,PRD0002,PLT008,2023-10-25,2023,10,2023-11-11,2023-11-11,0,2331,173.52,404475.12,Delivered,5.46,Y
PO000629,SUP0062,PRD0019,PLT006,2022-01-27,2022,1,2022-03-06,2022-03-12,6,4878,1279.08,6239352.24,Delivered,7.04,N
PO000630,SUP0023,PRD0018,PLT006,2024-03-26,2024,3,2024-04-27,2024-05-03,6,894,139.52,124730.88,Delivered,3.57,N
PO000631,SUP0102,PRD0034,PLT001,2021-11-22,2021,11,2021-12-13,2021-12-13,0,2046,456.15,933282.9,Delayed,2.04,Y
PO000632,SUP0087,PRD0021,PLT005,2024-09-27,2024,9,2024-10-29,2024-10-29,0,3113,469.6,1461864.8,Delayed,7.11,Y
PO000633,SUP0041,PRD0026,PLT001,2023-11-13,2023,11,2023-12-13,2023-12-13,0,1092,1464.59,1599332.28,Delivered,2.96,Y
PO000634,SUP0060,PRD0043,PLT006,2023-11-23,2023,11,2023-12-08,2023-12-08,0,2546,167.45,426327.7,Delivered,2.94,Y
PO000635,SUP0082,PRD0043,PLT001,2024-04-20,2024,4,2024-05-14,2024-05-22,8,4986,192.45,959555.7,In Transit,3.42,N
PO000636,SUP0099,PRD0038,PLT008,2022-11-07,2022,11,2022-12-02,2022-12-02,0,4065,1466.57,5961607.05,Delivered,1.06,Y
PO000637,SUP0077,PRD0032,PLT003,2023-01-23,2023,1,2023-01-31,2023-01-31,0,2772,237.12,657296.64,Partial,6.11,Y
PO000638,SUP0113,PRD0010,PLT001,2023-08-19,2023,8,2023-09-23,2023-09-23,0,1907,491.22,936756.54,Delivered,4.48,Y
PO000639,SUP0094,PRD0039,PLT007,2022-07-02,2022,7,2022-07-28,2022-08-24,27,3815,626.11,2388609.65,Cancelled,7.23,N
PO000640,SUP0056,PRD0010,PLT003,2023-02-15,2023,2,2023-03-18,2023-03-18,0,3240,172.31,558284.4,Delivered,0.69,Y
PO000641,SUP0059,PRD0034,PLT005,2021-05-25,2021,5,2021-06-02,2021-06-02,0,4531,1774.74,8041346.94,Delayed,2.24,Y
PO000642,SUP0098,PRD0021,PLT004,2024-09-25,2024,9,2024-11-04,2024-10-31,-4,216,1219.19,263345.04,In Transit,5.9,Y
PO000643,SUP0093,PRD0007,PLT005,2023-07-12,2023,7,2023-07-15,2023-07-11,-4,3868,1112.85,4304503.8,Delivered,6.7,Y
PO000644,SUP0054,PRD0048,PLT005,2021-07-10,2021,7,2021-08-08,2021-08-08,0,1640,1500.2,2460328.0,Partial,1.79,Y
PO000645,SUP0088,PRD0024,PLT003,2022-09-28,2022,9,2022-10-08,2022-10-08,0,4007,1023.26,4100202.82,Delayed,2.39,Y
PO000646,SUP0074,PRD0026,PLT003,2023-01-26,2023,1,2023-02-06,2023-03-08,30,2939,1698.06,4990598.34,Delivered,4.66,N
PO000647,SUP0009,PRD0038,PLT002,2023-01-17,2023,1,2023-01-27,2023-02-19,23,3058,356.76,1090972.08,Delivered,5.11,N
PO000648,SUP0024,PRD0038,PLT008,2023-10-14,2023,10,2023-10-17,2023-10-17,0,3303,426.94,1410182.82,Delivered,7.35,Y
PO000649,SUP0068,PRD0006,PLT003,2024-03-23,2024,3,2024-04-02,2024-04-14,12,1323,1269.03,1678926.69,In Transit,7.79,N
PO000650,SUP0101,PRD0032,PLT002,2022-06-14,2022,6,2022-07-26,2022-07-26,0,4646,1218.88,5662916.48,Delivered,6.72,Y
PO000651,SUP0046,PRD0056,PLT001,2021-09-18,2021,9,2021-10-14,2021-10-14,0,3875,20.33,78778.75,Delivered,7.55,Y
PO000652,SUP0094,PRD0025,PLT002,2023-06-17,2023,6,2023-07-13,2023-07-13,0,4215,1548.95,6528824.25,Partial,2.96,Y
PO000653,SUP0052,PRD0011,PLT005,2024-07-04,2024,7,2024-08-18,2024-08-18,0,2951,96.69,285332.19,Delivered,6.43,Y
